,job title,company,region,skills required,is remote?,is fresher?
99,Data scientist,ONLEI Technologies,Remote,,Yes,Yes
100,Data scientist,Infosys,Pune,,No,NA
101,Data scientist,Novartis,Hyderabad District,,No,NA
102,Data scientist,Nagarro,Remote,,Yes,No
103,Data scientist,UST,Remote in Thiruvananthapuram,"Data Mining, Etl, Stat",Yes,No
104,Data scientist,Accenture,Mumbai,,No,NA
105,Data scientist,Technovert,Hyderabad,Data Mining,No,No
106,Data scientist,Ecozen Solutions,Pune,,No,No
107,Data scientist,Acuity Knowledge Partners,Bengaluru,,No,No
108,Data scientist,Meithee Tech Private Limited,Bengaluru,"Python, Big Data",No,NA
109,Data scientist,Holiday Factory,Pune,,No,NA
110,Data scientist,Verizon,Remote in Chennai,AI,Yes,No
111,Data scientist,Microsoft,Bengaluru,,No,NA
112,Data scientist,Pivotchain Solution Technologies,Pune,,No,NA
113,Data scientist,SSP Technology,Pune,Data Mining,No,NA
114,Data scientist,JPMorgan Chase & Co,Bengaluru,Machine Learning,No,NA
115,Data scientist,Bradken,Coimbatore,Big Data,No,NA
116,Data scientist,Accuracy Info Labs Pvt. Ltd.,Pune,Data Mining,No,NA
117,Data scientist,Sorigin Group,Pune,"Data Visualization, Data Mining",No,No
118,Data scientist,Anagram Media & Marketing,Delhi,"Python,  Sql ",No,Yes
119,Data scientist,Beinex,India,Data Visualization,No,NA
120,Data scientist,Intuit,Bengaluru,,No,No
121,Data scientist,Zazz,Hyderabad,,No,NA
122,Data scientist,HealthAsyst,Bengaluru,Stat,No,NA
123,Data scientist,Softweb Solutions,Ahmedabad,"Python, Deep Learning",No,No
124,Data scientist,Finquest,Bengaluru,,No,NA
125,Data scientist,Infowiz Software Solution,Amritsar,,No,NA
126,Data scientist,Cendyn,Gurgaon,Stat,No,No
127,Data scientist,Alcon,Bengaluru,,No,NA
128,Data scientist,SkillCircle,New Delhi,,No,No
129,Data scientist,Future Profilez,Remote,,Yes,NA
130,Data scientist,Deloitte,Bengaluru,,No,NA
131,Data scientist,Khan Academy,Remote,,Yes,No
132,Data scientist,RamSoft,Remote in Bengaluru,,Yes,No
133,Data scientist,Mr. Cooper,Chennai,,No,No
134,Data scientist,Intuit,Bengaluru,,No,No
