,job title,company,region,skills required,is remote?,is fresher?
88,Data analyst,General Mills,Mumbai,Data Mining,No,NA
89,Data analyst,Hustlehub Tech Park,Bengaluru,Data Mining,No,NA
90,Data analyst,Deutsche Bank,Mumbai,,No,No
91,Data analyst,Bosch Group,Bengaluru,,No,NA
92,Data analyst,Goldman Sachs,Hyderabad,"Python, Data Visualization, Tableau",No,NA
93,Data analyst,Hyatt India Consultancy Private Limited,Delhi,,No,NA
94,Data analyst,PwC,Kolkata,,No,NA
95,Data analyst,Mastercard,Gurgaon,,No,Yes
96,Data analyst,Navalt,Kochi,"Python,  R ",No,NA
97,Data analyst,JPMorgan Chase & Co,Mumbai,,No,NA
98,Data analyst,JPMorgan Chase & Co,Bengaluru,,No,NA
99,Data analyst,Dun & Bradstreet,Mumbai,,No,NA
100,Data analyst,Vantage Circle,Guwahati,,No,Yes
101,Data analyst,Jithvar Consultancy Services Pvt. Ltd.,Lucknow,Data Visualization,No,No
102,Data analyst,Angadi World Technologies,Bengaluru,,No,NA
103,Data analyst,Axis My India,Mumbai,Data Structure,No,NA
104,Data analyst,GXO Logistics,Mumbai,"Machine Learning, Data Mining, Database",No,No
105,Data analyst,Barclays,Delhi,,No,No
106,Data analyst,Expedia Group,Gurgaon,,No,No
107,Data analyst,Vervenest technologies,Bengaluru,,No,NA
108,Data analyst,Cybage,Pune," Sql , Big Data, Etl",No,No
109,Data analyst,Medtronic,Nanakramguda,Excel,No,NA
110,Data analyst,Galytix,Gurgaon,,No,NA
111,Data analyst,MNR Solutions Private Limited,Kolkata,,No,NA
112,Data analyst,SUPERDNA 3D LAB,Chandigarh,Database,No,NA
113,Data analyst,JPMorgan Chase & Co,Mumbai,,No,No
114,Data analyst,IndustryARC,Remote,,Yes,NA
115,Data analyst,PiWheel,India,,No,No
116,Data analyst,XenonStack,Mohali,,No,NA
117,Data analyst,SearchUrCollege,Noida,"Data Mining, Database",No,NA
118,Data analyst,Excellanto Ventures Pvt Ltd,Remote in Delhi,,Yes,NA
119,Data analyst,VMware,Bengaluru,,No,NA
120,Data analyst,KPMG,Hyderabad,,No,NA
121,Data analyst,Recro,Bengaluru,"Python, Excel",No,No
122,Data analyst,Bombay Play,Bengaluru,Stat,No,Yes
